Provincia;HUB;FP;LP;ULP;HP;ELP;QP;MQP;FP;LP;ULP;HP;ELP;QP;MQP
AO;BO;169,49;146,84;115,99;112,76;98,21;81,1;70,07;155,38;132,4;105,79;103,58;91,07;74,99;62,93
AL;BO;92,78;79,48;63,66;66,27;59,61;55,22;50,72;86,89;72,81;59,74;61,95;55,95;52,09;47,19
AT;BO;94,35;80,92;64,45;67,06;60,52;55,74;50,98;88,07;73,99;60,39;62,75;56,61;52,35;47,32
BI;BO;95,39;81,83;65,23;67,97;61,06;56,14;51,37;89,5;75,29;61,17;63,53;57,26;52,87;47,71
CN;BO;104,93;90,2;75,03;73,46;65,63;59,02;53,07;98,39;83;69,94;68,62;61,71;55,48;49,28
GD Torino;BO;109,13;93,57;72,98;76,4;68,41;61,34;55,45;100,81;84,66;67,63;70,31;62,77;57,18;51,01
GD Novara;BO;92,13;78,96;63,27;65,88;59,35;54,96;50,45;86,24;72,42;59,34;61,56;55,69;51,7;46,8
NO;BO;92,13;78,96;63,27;65,88;59,35;54,96;50,45;86,24;72,42;59,34;61,56;55,69;51,7;46,8
TO;BO;104,02;89,14;70,08;73,22;65,76;59,38;53,87;96,33;80,91;65,14;67,61;60,54;55,53;49,75
VB;BO;115,18;99,11;81,44;79,61;70,73;62,6;55,58;108,57;92,23;76,53;74,84;66,93;58,82;51,64
VC;BO;98,26;84,18;66,67;69,55;62,36;57,18;51,76;91,46;76,73;62,1;64,58;58,3;53,65;47,97
BG;BO;90,55;77,51;62,49;64,84;58,57;54,57;50,06;84,66;70,85;58,43;60,52;55,04;51,44;46,67
BS;BO;94,79;81,23;65,02;67,43;60,9;56,26;51,74;93,52;78,27;63,46;65,87;59,63;54,7;49,47
CO;BO;92,13;78,96;63,4;65,88;59,35;55,09;50,45;85,85;72,03;59,21;61,43;55,69;51,7;46,93
CO (Lago);BO;222,59;199,31;195,93;167,46;147,01;136,91;121,48;193,97;167,85;167,59;141,45;127,07;116,28;102,36
Campione;BO;356,16;317,64;255,93;248,66;242,13;207,97;155,23;349,88;310,71;251,74;244,21;238,47;204,58;151,71
CR;BO;85,98;73,72;60,13;62,23;56,48;53;49,15;80,75;67,84;56,47;58,3;53,07;50,12;46,02
GD Milano;BO;92,52;79,22;63,53;66,01;59,61;55,22;50,59;85,98;72,16;59,21;61,43;55,56;51,7;46,93
LC;BO;97,48;83,4;66,27;69,16;62,23;57,57;52,41;88,98;74,9;60,65;63,53;57,39;53,26;47,58
LC (Lago);BO;128,99;110,59;84,05;88,89;77,79;69,34;60,65;115,14;96,08;75,29;78,16;69,94;62,41;54,89
LO;BO;85,98;73,86;60,13;62,36;56,48;53;49,15;80,75;67,84;56,6;58,3;53,07;50,12;46,02
MB;BO;88,33;75,68;61,3;63,53;57,65;53,92;49,54;82,71;69,42;57,39;59,47;54,13;50,64;46,41
MI;BO;89,5;76,73;62,1;64,31;58,04;54,31;49,93;83,23;69,68;57,78;59,74;54,26;50,9;46,41
MI (ZTL);BO;106,74;94,44;93,41;82,06;74,42;71,94;67,43;98,22;84,42;84,25;74,78;68,17;65,41;59,94
MN;BO;82,57;70,59;58,17;60,26;54,78;52,09;48,5;77,22;64,44;54,37;56,34;51,24;49,07;45,09
PV;BO;89,5;76,6;61,95;64,18;58,17;54,18;49,8;83,36;69,81;57,78;59,74;54,39;50,77;46,41
SO;BO;117,48;101,08;82,84;81,06;71,79;63,1;55,79;110,89;95,05;78,03;76,4;68,23;59,38;51,94
VA;BO;91,46;78,29;63,01;65,49;58,96;54,83;50,32;85,33;71,64;58,82;61,04;55,17;51,57;46,8
BL;BO;136,21;117,09;91,48;93,36;81,78;71,43;62,2;133,01;112,16;88,86;89,73;78,87;68,69;59,29
PD;BO;83,49;71,64;58,82;60,78;55,3;52,22;48,63;78;65,23;54,89;56,6;51,64;49,34;45,35
RO;BO;88,85;76,21;61,98;64,23;58,13;54,57;50,58;86,3;72;59,59;61,84;55,88;52,62;47,86
TV;BO;84,92;72,94;59,6;61,69;55,95;52,87;49,02;82,97;69,55;57,78;59,6;54,26;51,16;46,8
VE;BO;86,76;74,51;60,52;62,75;56,87;53,26;49,28;81,27;68,36;56,86;58,69;53,46;50,25;46,15
VE (Laguna);BO;258,36;207,11;178,17;165,45;145,27;113,06;88,28;252,87;200,96;174,51;161,39;141,86;110,05;85,15
VI;BO;85,85;73,72;60,13;62,23;56,48;52,87;49,15;80,62;67,84;56,47;58,3;53,07;50,12;46,02
VR;BO;83,49;71,5;58,82;60,78;55,3;52,22;48,5;77,87;65,23;54,89;56,6;51,64;49,07;45,35
BZ;BO;109,14;93,62;73,16;76,12;68,23;61,49;55,26;102,41;85,55;68,44;70,87;64,05;57,44;51,07
TN;BO;106,05;91,33;71,29;74,37;67,01;60,13;54,7;99,85;84,46;67,24;70,6;62,84;57,04;50,53
GO;BO;92,13;78,96;63,27;65,88;59,35;55,09;50,45;86,37;72,42;59,47;61,69;55,82;51,83;47,06
PN;BO;92;78,83;63,27;65,75;59,22;54,96;50,45;86,24;72,29;59,34;61,56;55,69;51,83;47,06
TS;BO;98,39;84,31;66,53;69,68;62,36;57,18;51,5;90,81;75,81;61,56;64,05;57,78;53,39;47,71
UD;BO;96,17;82,48;65,62;68,36;61,45;56,4;51,5;91,07;76,6;61,95;64,58;58,17;53,52;48,1
GE;BO;140,94;115,21;88,88;92,59;80,31;68,71;58,53;131,48;106,71;82,56;86,28;75,37;64,19;54,01
IM;BO;120,22;103,97;84,63;82,84;73,45;63,37;56,06;111,83;95,05;78,45;76,8;68,51;59,52;51,81
SP;BO;124,9;106,91;81,41;85,77;75,76;67,06;59,26;116,71;97,51;75,66;79,67;70,72;62,89;54,56
SV;BO;120,22;103,97;84,63;82,84;73,45;63,37;56,06;111,83;95,05;78,45;76,8;68,51;59,52;51,81
BO;BO;73,56;62,62;53,33;54,76;50,2;49,34;46,8;68,19;56,21;49,54;50,72;46,8;46,46;43,66
FC;BO;81,01;69,29;57,39;59,34;53,87;51,44;47,97;75,79;63,4;53,72;55,43;50,59;48,55;44,83
FE;BO;87,72;75,03;61,12;63,41;57,38;54,19;50,18;82,1;68,7;57,23;59,39;53,79;50,88;46,73
